1,14,7,404862,2014-05-22,SPHERE ONE AVIATION,26.8,171.25
2,8,5,100109,2014-05-22,AIRMOTIVE SERVICE,28.4,161.65
3,1,26,3230,2013-01-02,Utah Jet Center,26.6,123.16
4,15,26,3230,2013-01-02,Utah Jet Center,27.1,125.47
5,12,26,14-101286,2014-05-22,Leading Edge Aviation Logan,21.9,115.85
6,8,26,14-101286,2014-05-22,Leading Edge Aviation Logan,26.3,115.85
7,12,26,14-101286,2014-05-22,Leading Edge Aviation Logan,13.8,73
8,14,26,14-101286,2014-05-22,Leading Edge Aviation Logan,24.2,128.02
9,6,26,14-101286,2014-05-22,Leading Edge Aviation Logan,17.3,91.52
10,7,26,14-101286,2014-05-22,Leading Edge Aviation Logan,16.7,88.34
11,10,26,14-101286,2014-05-22,Leading Edge Aviation Logan,26,137.54
12,5,26,14-101286,2014-05-22,Leading Edge Aviation Logan,19.9,105.27
13,15,26,14-101286,2014-05-22,Leading Edge Aviation Logan,13.6,71.94
14,3,26,14-101286,2014-05-22,Leading Edge Aviation Logan,20.2,106.86
15,12,26,14-101286,2014-05-22,Leading Edge Aviation Logan,19.9,105.27
16,3,26,14-101286,2014-05-22,Leading Edge Aviation Logan,10.6,56.07
17,14,26,14-101286,2014-05-22,Leading Edge Aviation Logan,22.5,119.02
18,9,26,14-101286,2014-05-22,Leading Edge Aviation Logan,9.1,48.14
19,6,26,14-101286,2014-05-22,Leading Edge Aviation Logan,1,5.29
20,9,26,14-101286,2014-05-22,Leading Edge Aviation Logan,20.9,110.56
21,10,26,14-101227,2014-05-21,Leading Edge Aviation Logan,19.7,104.21
22,2,26,14-101227,2014-05-21,Leading Edge Aviation Logan,31,133.92
23,15,26,14-101227,2014-05-21,Leading Edge Aviation Logan,22.4,118.5
24,9,26,14-101227,2014-05-21,Leading Edge Aviation Logan,26,137.54
25,13,26,14-101227,2014-05-21,Leading Edge Aviation Logan,23.5,124.32
26,3,26,14-101227,2014-05-21,Leading Edge Aviation Logan,15.4,81.47
27,8,26,14-101227,2014-05-21,Leading Edge Aviation Logan,28,148.12
28,12,26,14-101227,2014-05-21,Leading Edge Aviation Logan,13.5,71.42
29,10,26,14-101227,2014-05-21,Leading Edge Aviation Logan,19,100.51
30,15,26,14-101227,2014-05-21,Leading Edge Aviation Logan,13.7,72.47
31,2,26,14-101227,2014-05-21,Leading Edge Aviation Logan,13,56.16
32,10,26,14-101227,2014-05-21,Leading Edge Aviation Logan,14.7,77.76
33,12,26,14-101227,2014-05-21,Leading Edge Aviation Logan,19.1,101.04
34,10,26,14-101159,2014-05-20,Leading Edge Aviation Logan,26.5,140.18
35,5,26,14-101159,2014-05-20,Leading Edge Aviation Logan,18.3,96.81
36,11,26,14-101159,2014-05-20,Leading Edge Aviation Logan,19.5,103.16
37,15,26,14-101159,2014-05-20,Leading Edge Aviation Logan,19,100.51
38,12,26,14-101159,2014-05-20,Leading Edge Aviation Logan,15.1,79.88
39,10,26,14-101159,2014-05-20,Leading Edge Aviation Logan,6.4,33.86
40,12,26,14-101159,2014-05-20,Leading Edge Aviation Logan,17.2,90.99
41,9,26,14-101159,2014-05-20,Leading Edge Aviation Logan,14.3,75.65
42,11,26,14-101159,2014-05-20,Leading Edge Aviation Logan,6.3,33.33
43,13,26,14-101159,2014-05-20,Leading Edge Aviation Logan,22.7,120.08
44,15,26,14-101159,2014-05-20,Leading Edge Aviation Logan,28.3,149.71
45,14,26,14-100837,2014-05-19,Leading Edge Aviation,7.9,41.79
46,11,26,14-101113,2014-05-19,Leading Edge Aviation Logan,16.1,85.17
47,10,26,14-101113,2014-05-19,Leading Edge Aviation Logan,19.8,104.74
48,10,26,14-101113,2014-05-19,Leading Edge Aviation Logan,15.2,80.41
49,9,26,14-101113,2014-05-19,Leading Edge Aviation Logan,14.6,77.23
50,8,26,14-101113,2014-05-19,Leading Edge Aviation Logan,20.4,107.92
51,5,26,14-101113,2014-05-19,Leading Edge Aviation Logan,8.2,43.38
52,15,26,14-101113,2014-05-19,Leading Edge Aviation Logan,26.8,141.77
53,11,26,14-101113,2014-05-19,Leading Edge Aviation Logan,21.3,112.68
54,8,26,14-101084,2014-05-18,Leading Edge Aviation,19,100.51
55,3,26,14-101084,2014-05-18,Leading Edge Aviation,22,116.38
56,15,26,14-101084,2014-05-18,Leading Edge Aviation,16.2,85.7
57,8,26,3230,2013-01-03,Utah Jet Center,13.8,65.55
58,10,26,14-100969,2014-05-17,Leading Edge Aviation,7.4,39.15
59,1,26,3230,2013-01-03,Utah Jet Center,16.9,80.28
60,8,26,14-100969,2014-05-17,Leading Edge Aviation,16,84.64
61,13,26,14-100969,2014-05-17,Leading Edge Aviation,6.5,34.38
62,8,26,14-100969,2014-05-17,Leading Edge Aviation,17.5,92.58
63,9,26,14-100969,2014-05-17,Leading Edge Aviation,6.7,35.44
64,10,26,14-100969,2014-05-17,Leading Edge Aviation,22.3,117.97
65,5,26,14-100969,2014-05-17,Leading Edge Aviation,18.4,97.34
66,11,26,14-100969,2014-05-17,Leading Edge Aviation,9.1,48.14
67,8,26,14-100969,2014-05-17,Leading Edge Aviation,22.8,120.61
68,11,26,3230,2013-01-03,Utah Jet Center,13,60.19
69,14,26,14-100902,2014-05-16,Leading Edge Aviation,5.9,31.21
70,10,26,14-100902,2014-05-16,Leading Edge Aviation,27.9,147.59
71,12,26,14-100902,2014-05-16,Leading Edge Aviation,18.8,99.45
72,11,26,14-100902,2014-05-16,Leading Edge Aviation,22.1,116.91
73,5,26,14-100902,2014-05-16,Leading Edge Aviation,23.8,125.9
74,13,26,14-100902,2014-05-16,Leading Edge Aviation,19.9,105.27
75,11,26,14-100902,2014-05-16,Leading Edge Aviation,17,89.93
76,15,26,14-100902,2014-05-16,Leading Edge Aviation,23,121.67
77,14,26,14-100902,2014-05-16,Leading Edge Aviation,11.3,59.78
78,10,26,14-100902,2014-05-16,Leading Edge Aviation,8.3,43.91
79,11,26,14-100902,2014-05-16,Leading Edge Aviation,17,89.93
80,9,26,14-100902,2014-05-16,Leading Edge Aviation,14.9,78.82
81,12,26,14-100902,2014-05-16,Leading Edge Aviation,19.4,102.63
82,15,26,14-100902,2014-05-16,Leading Edge Aviation,22.2,117.44
83,9,45,SLC-089736,2014-05-16,TAC AIR-Salt Lake City,6.8,40.53
84,11,41,PVU-016395,2014-05-15,TAC AIR - Provo,18.7,121.55
85,8,47,2759,2013-01-03,Above View Jet Center,20.7,123.99
86,12,26,14-100837,2014-05-15,Leading Edge Aviation,19.2,101.57
87,11,26,14-100837,2014-05-15,Leading Edge Aviation,10.1,53.43
88,15,26,14-100837,2014-05-15,Leading Edge Aviation,20.1,106.33
89,7,26,14-100837,2014-05-15,Leading Edge Aviation,10.2,53.96
90,16,26,14-100837,2014-05-15,Leading Edge Aviation,11.3,59.78
91,10,26,14-100837,2014-05-15,Leading Edge Aviation,20.6,108.97
92,13,26,14-100837,2014-05-15,Leading Edge Aviation,20.6,108.97
93,7,26,14-100837,2014-05-15,Leading Edge Aviation,17,89.93
94,3,26,14-100837,2014-05-15,Leading Edge Aviation,23.8,125.9
95,5,26,14-100837,2014-05-15,Leading Edge Aviation,15.1,79.88
96,10,26,14-100837,2014-05-15,Leading Edge Aviation,12.8,67.71
97,12,26,14-100837,2014-05-15,Leading Edge Aviation,25.2,133.31
98,14,26,14-100837,2014-05-15,Leading Edge Aviation,14.6,77.23
99,11,26,14-100837,2014-05-15,Leading Edge Aviation,19.3,102.1
100,13,26,14-100837,2014-05-15,Leading Edge Aviation,7.1,37.56
101,9,26,14-100837,2014-05-15,Leading Edge Aviation,16.7,88.34
102,11,41,PVU-016389,2014-05-13,TAC AIR - Provo,18.7,117.92
103,7,26,14-100603,2014-05-11,Leading Edge Aviation,25.3,133.84
104,8,26,14-100444,2014-05-10,Leading Edge Aviation,27.6,146
105,4,26,14-100532,2014-05-09,Leading Edge Aviation,51,220.32
106,11,26,14-100444,2014-05-08,Leading Edge Aviation,14,74.06
107,12,26,14-100444,2014-05-08,Leading Edge Aviation,16.6,87.81
108,14,26,14-100444,2014-05-08,Leading Edge Aviation,15.5,82
109,3,26,14-100444,2014-05-08,Leading Edge Aviation,20.9,110.56
110,5,26,14-100444,2014-05-08,Leading Edge Aviation,27,142.83
111,15,26,14-100444,2014-05-08,Leading Edge Aviation,24.8,131.19
112,11,26,14-100444,2014-05-08,Leading Edge Aviation,9.3,49.2
113,8,26,14-100444,2014-05-08,Leading Edge Aviation,12.6,66.65
114,2,26,14-100444,2014-05-08,Leading Edge Aviation,28,120.96
115,7,26,14-100444,2014-05-08,Leading Edge Aviation,18.5,97.86
116,12,26,14-100387,2014-05-07,Leading Edge Aviation,18.5,97.68
117,3,26,14-100387,2014-05-07,Leading Edge Aviation,17.1,90.29
118,15,26,14-100387,2014-05-07,Leading Edge Aviation,19.2,101.38
119,2,26,14-100387,2014-05-07,Leading Edge Aviation,20,86.4
120,15,26,14-100357,2014-05-06,Leading Edge Aviation,25.6,135.17
121,11,26,14-100357,2014-05-06,Leading Edge Aviation,11.8,62.3
122,14,26,14-100357,2014-05-06,Leading Edge Aviation,13.6,71.81
123,2,26,14-100357,2014-05-06,Leading Edge Aviation,23,99.36
124,8,26,14-100357,2014-05-06,Leading Edge Aviation,15.8,83.42
125,8,26,14-100294,2014-05-05,Leading Edge Aviation,30.9,163.15
126,14,26,14-100294,2014-05-05,Leading Edge Aviation,14.5,76.56
127,15,26,14-100294,2014-05-05,Leading Edge Aviation,14.5,76.56
128,2,26,14-100294,2014-05-05,Leading Edge Aviation,35,151.2
129,8,26,14-100294,2014-05-05,Leading Edge Aviation,18.3,96.62
130,14,26,14-100294,2014-05-05,Leading Edge Aviation,16.2,85.54
131,11,26,14-100294,2014-05-05,Leading Edge Aviation,11.8,62.3
132,3,26,14-100294,2014-05-05,Leading Edge Aviation,23.2,122.5
133,15,26,14-100294,2014-05-05,Leading Edge Aviation,23.1,121.97
134,3,26,14-100294,2014-05-05,Leading Edge Aviation,11.4,60.19
135,8,26,14-100294,2014-05-05,Leading Edge Aviation,16.3,86.06
136,14,45,SLC-088397,2014-05-04,TAC AIR - Salt Lake City,10.2,60.49
137,14,45,SLC-088394,2014-05-03,TAC AIR - Salt Lake City,18.6,110.3
138,6,7,40398,2014-05-01,Sphere One,19,117.61
139,3,26,3230,2013-01-03,Utah Jet Center,26.9,124.55
140,15,26,3230,2013-01-04,Utah Jet Center,20.9,96.77
141,9,26,14-099728,2014-04-25,Leading Edge Aviation,26.7,140.98
142,11,26,14-099728,2014-04-25,Leading Edge Aviation,14.7,77.62
143,14,26,14-099728,2014-04-25,Leading Edge Aviation,6.6,34.85
144,6,26,14-099728,2014-04-25,Leading Edge Aviation,16.8,88.7
145,7,26,14-099728,2014-04-25,Leading Edge Aviation,16.4,86.59
146,3,26,14-099728,2014-04-25,Leading Edge Aviation,23,121.44
147,6,36,100063,2014-04-24,Ogden Mountain Valley,26.3,159.12
148,11,26,14-099673,2014-04-24,Leading Edge Aviation,19,100.32
149,9,26,14-099673,2014-04-24,Leading Edge Aviation,19.7,104.02
150,6,26,14-099673,2014-04-24,Leading Edge Aviation,21,110.88
151,14,26,14-099673,2014-04-24,Leading Edge Aviation,17,89.76
152,15,26,14-099673,2014-04-24,Leading Edge Aviation,23.4,123.55
153,3,26,14-099673,2014-04-24,Leading Edge Aviation,25.6,135.17
154,2,26,14-099673,2014-04-24,Leading Edge Aviation,28,117.04
155,15,26,14-099673,2014-04-24,Leading Edge Aviation,18.9,99.79
156,11,26,14-099673,2014-04-24,Leading Edge Aviation,18.9,99.79
157,7,26,14-099673,2014-04-24,Leading Edge Aviation,17.2,90.82
158,10,26,14-099673,2014-04-24,Leading Edge Aviation,18.5,97.68
159,2,26,14-099673,2014-04-24,Leading Edge Aviation,13,54.34
160,8,26,14-099673,2014-04-24,Leading Edge Aviation,20.5,108.24
161,7,26,14-099673,2014-04-24,Leading Edge Aviation,24,126.72
162,14,26,14-099617,2014-04-23,Leading Edge Aviation,21.8,113.14
163,7,26,14-099617,2014-04-23,Leading Edge Aviation,12.2,63.32
164,15,26,14-099617,2014-04-23,Leading Edge Aviation,13,67.47
