"Beaver","U52","Beaver Municipal Airport","UT"
"Blanding","BDG","Blanding Municipal Airport","UT"
"Bluff","66V","Bluff Airport","UT"
"Bountiful","BTF","Skypark Airport","UT"
"Brigham City","BMC","Brigham City Airport","UT"
"Bryce Canyon","BCE","Bryce Canyon Airport","UT"
"Cedar City","CDC","Cedar City Regional Airport","UT"
"Delta","DTA","Delta Municipal Airport","UT"
"Duchesne","U69","Duchesne Municipal Airport","UT"
"Dugway Proving Ground","DPG","Michael Army Airfield","UT"
"Dutch John","33U","Dutch John Airport","UT"
"Eagle Mountain","17U","Jake Garn Airport","UT"
"Escalante","1L7","Escalante Municipal Airport","UT"
"Fillmore","FOM","Fillmore Municipal Airport","UT"
"Glen Canyon","U07","Bullfrog Basin Airport","UT"
"Green River","U34","Green River Municipal Airport","UT"
"Halls Crossing","U96","Cal Black Memorial Airport","UT"
"Hanksville","HVE","Hanksville Airport","UT"
"Hanksville","UT03","Hite Airport","UT"
"Heber City","36U","Heber City Municipal Airport","UT"
"Huntington","69V","Huntington Municipal Airport","UT"
"Hurricane","1L8","General Dick Stout Field","UT"
"Junction","U13","Junction Airport","UT"
"Kanab","KNB","Kanab Municipal Airport","UT"
"Loa","38U","Wayne Wonderland Airport","UT"
"Logan","LGU","Logan-Cache Airport","UT"
"Manila","40U","Manila Airport","UT"
"Manti","41U","Manti-Ephraim Airport","UT"
"Milford","MLF","Milford Municipal Airport","UT"
"Moab","CNY","Canyonlands Field","UT"
"Monticello","U64","Monticello Airport","UT"
"Morgan","42U","Morgan County Airport","UT"
"Mount Pleasant","43U","Mount Pleasant Airport","UT"
"Nephi","U14","Nephi Municipal Airport","UT"
"Ogden","HIF","Hill Air Force Base","UT"
"Ogden","OGD","Ogden-Hinckley Airport","UT"
"Oljato-Monument Valley","UT25","Monument Valley Airport","UT"
"Panguitch","U55","Panguitch Municipal Airport","UT"
"Parowan","1L9","Parowan Airport","UT"
"Price","PUC","Carbon County Regional Airport","UT"
"Provo","PVU","Provo Municipal Airport","UT"
"Richfield","RIF","Richfield Municipal Airport","UT"
"Roosevelt","74V","Roosevelt Municipal Airport","UT"
"Salina","44U","Salina-Gunnison Airport","UT"
"Salt Lake City","SLC","Salt Lake City International Airport","UT"
"Spanish Fork","U77","Spanish Fork-Springville Airport","UT"
"St. George / Beaver","SGU","St. George Municipal Airport","UT"
"Tooele","TVY","Tooele Valley Airport","UT"
"Vernal","VEL","Vernal Regional Airport","UT"
"Wendover","ENV","Wendover Airport","UT"
"West Jordan","U42","South Valley Regional Airport","UT"
